"","avg_age","avg_Aneuploidy_Score","avg_Buffa.Hypoxia.Score","avg_Mutation.Count","avg_Fraction.Genome.Altered","Cancer.Metastasis.Stage_mx","Cancer.Metastasis.Stage_m0","Cancer.Metastasis.Stage_m1","Neoplasm.Disease.Lymph.Node.Stage_nx","Neoplasm.Disease.Lymph.Node.Stage_n0","Neoplasm.Disease.Lymph.Node.Stage_n1","Neoplasm.Disease.Lymph.Node.Stage_n2","Tumor.Stage_t1","Tumor.Stage_t1a","Tumor.Stage_t1b","Tumor.Stage_t2","Tumor.Stage_t2a","Tumor.Stage_t2b","Tumor.Stage_t3","Tumor.Stage_t3a","Tumor.Stage_t3b","Radiation.Therapy_yes.over.no","avg_Ragnum.Hypoxia.Score","Sex_male_over_female"
"dead",66.6315789473684,9.61111111111111,-1.73684210526316,68.8235294117647,0.243878947368421,0.684210526315789,0.157894736842105,0.157894736842105,0.473684210526316,0.210526315789474,0.263157894736842,0.0526315789473684,0.0526315789473684,0.105263157894737,0.157894736842105,0.263157894736842,0.105263157894737,0,0.0526315789473684,0.210526315789474,0.0526315789473684,0.0555555555555556,-5.15789473684211,3.75
"normal",64.3333333333333,6,-14.3333333333333,63.3333333333333,0.114833333333333,0.666666666666667,0.333333333333333,0,0.666666666666667,0.333333333333333,0,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,0,-12.6666666666667,2
"cl1",56.25,8.75,6.75,59.1428571428571,0.210125,0.5,0.25,0.25,0.125,0.375,0.375,0.125,0,0,0,0.125,0.25,0.125,0,0.5,0,0,0,1.66666666666667
"cl2",64.8314606741573,8.86363636363636,-11.0674157303371,71.4880952380952,0.21065393258427,0.775280898876405,0.191011235955056,0.0112359550561798,0.831460674157303,0.112359550561798,0.0561797752808989,0,0.123595505617978,0.404494382022472,0.258426966292135,0.0786516853932584,0.0337078651685393,0,0,0.0898876404494382,0.0112359550561798,0.0125,-12.8988764044944,3.45
"cl3",60.7647058823529,6.51515151515152,-5.76470588235294,51.25,0.155341176470588,0.794117647058823,0.176470588235294,0,0.794117647058823,0.147058823529412,0.0294117647058824,0.0294117647058824,0.0588235294117647,0.441176470588235,0.176470588235294,0.0588235294117647,0,0.0588235294117647,0.0588235294117647,0.147058823529412,0,0,-11.0588235294118,1.83333333333333
