"","samples","dead","live_weight","dead_weight","ratio","final_score","rscore"
"cl2",166,19,302.572982774252,32.5471698113208,0.114457831325301,-283.572982774252,3.72527847238009
"cl3",78,0.01,148.172257479601,0.01,0.000128205128205128,-148.162257479601,1.28205128205128e-06
"cl1",23,19,1.79510426110607,14.1590296495957,0.826086956521739,17.2048957388939,11.6965897105356
