"","avg_age","avg_Aneuploidy_Score","avg_Buffa.Hypoxia.Score","avg_Mutation.Count","avg_Fraction.Genome.Altered","Cancer.Metastasis.Stage_mx","Cancer.Metastasis.Stage_m0","Cancer.Metastasis.Stage_m1","Neoplasm.Disease.Lymph.Node.Stage_nx","Neoplasm.Disease.Lymph.Node.Stage_n0","Neoplasm.Disease.Lymph.Node.Stage_n1","Neoplasm.Disease.Lymph.Node.Stage_n2","Tumor.Stage_t1","Tumor.Stage_t1a","Tumor.Stage_t1b","Tumor.Stage_t2","Tumor.Stage_t2a","Tumor.Stage_t2b","Tumor.Stage_t3","Tumor.Stage_t3a","Tumor.Stage_t3b","Radiation.Therapy_yes.over.no","avg_Ragnum.Hypoxia.Score","Sex_male_over_female"
"dead",66.6315789473684,9.61111111111111,-1.73684210526316,68.8235294117647,0.243878947368421,0.684210526315789,0.157894736842105,0.157894736842105,0.473684210526316,0.210526315789474,0.263157894736842,0.0526315789473684,0.0526315789473684,0.105263157894737,0.157894736842105,0.263157894736842,0.105263157894737,0,0.0526315789473684,0.210526315789474,0.0526315789473684,0.0555555555555556,-5.15789473684211,3.75
"normal",64.3333333333333,6,-14.3333333333333,63.3333333333333,0.114833333333333,0.666666666666667,0.333333333333333,0,0.666666666666667,0.333333333333333,0,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,0,-12.6666666666667,2
"cl1",48.6666666666667,7,8.33333333333333,43,0.0688666666666667,0.666666666666667,0.333333333333333,0,0,0.333333333333333,0.666666666666667,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0,4.66666666666667,0.5
"cl2",64.3584905660377,8.86666666666667,-10.2264150943396,69.7227722772277,0.206519811320755,0.764150943396226,0.19811320754717,0.0188679245283019,0.811320754716981,0.113207547169811,0.0660377358490566,0.00943396226415094,0.10377358490566,0.386792452830189,0.245283018867925,0.0943396226415094,0.0283018867924528,0.00943396226415094,0.00943396226415094,0.113207547169811,0.00943396226415094,0.0105263157894737,-12.377358490566,3.41666666666667
"cl3",59.9090909090909,5.38095238095238,-3.09090909090909,46.7368421052632,0.164231818181818,0.772727272727273,0.136363636363636,0.0454545454545455,0.727272727272727,0.227272727272727,0,0.0454545454545455,0.0909090909090909,0.454545454545455,0.136363636363636,0,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.181818181818182,0,0,-10.2727272727273,1.44444444444444
